index,date,actual,predicted,confidence,success
1454,2022-04-12,1,0,70,True
1455,2022-04-13,0,1,70,True
1456,2022-04-14,1,0,70,True
1457,2022-04-18,1,0,70,True
1458,2022-04-19,0,1,70,True
1459,2022-04-20,0,1,70,True
1460,2022-04-21,0,0,70,True
1461,2022-04-22,1,0,70,True
1462,2022-04-25,0,1,70,True
1463,2022-04-26,1,0,70,True
1464,2022-04-27,1,1,70,True
1465,2022-04-28,0,1,70,True
1466,2022-04-29,1,0,70,True
1467,2022-05-02,1,1,70,True
1468,2022-05-03,1,1,70,True
1469,2022-05-04,0,1,70,True
1470,2022-05-05,0,1,70,True
1471,2022-05-06,0,0,70,True
1472,2022-05-09,1,0,70,True
1473,2022-05-10,0,0,70,True
1474,2022-05-11,0,0,70,True
1475,2022-05-12,1,0,70,True
1476,2022-05-13,0,1,70,True
1477,2022-05-16,1,1,70,True
1478,2022-05-17,0,1,70,True
1479,2022-05-18,0,1,70,True
1480,2022-05-19,1,0,70,True
1481,2022-05-20,1,1,70,True
1482,2022-05-23,0,1,70,True
1483,2022-05-24,1,0,70,True
1484,2022-05-25,1,1,70,True
1485,2022-05-26,1,1,70,True
1486,2022-05-27,0,1,80,True
1487,2022-05-31,0,1,70,True
1488,2022-06-01,1,0,70,True
1489,2022-06-02,0,1,70,True
1490,2022-06-03,1,0,70,True
1491,2022-06-06,1,1,70,True
1492,2022-06-07,0,1,70,True
1493,2022-06-08,0,0,70,True
1494,2022-06-09,0,0,70,True
1495,2022-06-10,0,0,70,True
1496,2022-06-13,0,0,70,True
1497,2022-06-14,1,0,70,True
1498,2022-06-15,0,1,70,True
1499,2022-06-16,1,0,70,True
1500,2022-06-17,1,1,70,True
1501,2022-06-21,0,1,70,True
1502,2022-06-22,1,1,70,True
1503,2022-06-23,1,1,70,True
1504,2022-06-24,0,1,70,True
1505,2022-06-27,0,1,70,True
1506,2022-06-28,0,1,70,True
1507,2022-06-29,0,1,70,True
1508,2022-06-30,1,0,70,True
1509,2022-07-01,1,1,70,True
1510,2022-07-05,1,1,70,True
1511,2022-07-06,1,1,70,True
1512,2022-07-07,0,1,70,True
1513,2022-07-08,0,1,70,True
1514,2022-07-11,0,1,70,True
1515,2022-07-12,0,0,70,True
1516,2022-07-13,0,0,70,True
1517,2022-07-14,1,0,70,True
1518,2022-07-15,0,1,70,True
1519,2022-07-18,1,0,70,True
1520,2022-07-19,1,1,70,True
1521,2022-07-20,1,1,70,True
1522,2022-07-21,0,1,80,True
1523,2022-07-22,1,1,70,True
1524,2022-07-25,0,1,70,True
1525,2022-07-26,1,0,70,True
1526,2022-07-27,1,1,70,True
1527,2022-07-28,1,1,70,True
1528,2022-07-29,0,1,70,True
1529,2022-08-01,0,1,70,True
1530,2022-08-02,1,0,70,True
1531,2022-08-03,0,1,70,True
1532,2022-08-04,0,1,70,True
1533,2022-08-05,0,1,70,True
1534,2022-08-08,0,1,70,True
1535,2022-08-09,1,0,70,True
1536,2022-08-10,0,1,70,True
1537,2022-08-11,1,1,70,True
1538,2022-08-12,1,1,80,True
1539,2022-08-15,1,1,80,True
1540,2022-08-16,0,1,80,True
1541,2022-08-17,1,1,70,True
1542,2022-08-18,0,1,70,True
1543,2022-08-19,0,0,70,True
1544,2022-08-22,0,0,70,True
1545,2022-08-23,1,0,70,True
1546,2022-08-24,1,1,70,True
1547,2022-08-25,0,1,70,True
1548,2022-08-26,0,1,70,True
1549,2022-08-29,0,0,70,True
1550,2022-08-30,0,0,70,True
1551,2022-08-31,1,0,70,True
1552,2022-09-01,0,1,70,True
1553,2022-09-02,0,0,70,True
1554,2022-09-06,1,0,70,True
1555,2022-09-07,1,1,70,True
1556,2022-09-08,1,1,70,True
1557,2022-09-09,1,1,70,True
1558,2022-09-12,0,1,70,True
1559,2022-09-13,1,1,70,True
1560,2022-09-14,0,1,70,True
1561,2022-09-15,0,0,70,True
1562,2022-09-16,1,0,70,True
1563,2022-09-19,0,1,70,True
1564,2022-09-20,0,0,70,True
1565,2022-09-21,0,0,70,True
1566,2022-09-22,0,0,70,True
1567,2022-09-23,0,0,70,True
1568,2022-09-26,0,0,70,True
1569,2022-09-27,1,0,70,True
1570,2022-09-28,0,1,70,True
1571,2022-09-29,0,0,70,True
1572,2022-09-30,1,0,70,True
1573,2022-10-03,1,1,70,True
1574,2022-10-04,0,1,70,True
1575,2022-10-05,0,1,70,True
1576,2022-10-06,0,1,70,True
1577,2022-10-07,0,0,70,True
1578,2022-10-10,0,0,70,True
1579,2022-10-11,0,0,70,True
1580,2022-10-12,1,0,70,True
1581,2022-10-13,0,1,70,True
1582,2022-10-14,1,0,70,True
1583,2022-10-17,1,1,70,True
1584,2022-10-18,0,1,70,True
